Family	Population	Tree	Location	Region	Latitude	Longitude	SeedWeight	Germination	Survival	Height	Fitness	Elevation	PC1	PC2	Family_Homozygosity	Population_Homozygosity	Genetic_Diversity	Genetic_Load
KAN_02	KAN	2	NH	C	44.02552	71.495	0.00257	0.54	0.533333333	34.88157259	10.0458929	862	0.069233949	0.02738472	0.869355633	0.007951467	0.100668841	1.015002694
KAN_03	KAN	3	NH	C	44.02137	71.47896	0.003014	0.68	1	34.59468621	23.52438662	785	0.032942171	0.05424564	0.903527538	0.007951467	0.100668841	1.015002694
KAN_04	KAN	4	NH	C	44.02144	71.47961	0.002784	0.6	0.933333333	30.21957917	16.92296433	787	0.022629586	0.0287446	0.897307748	0.007951467	0.100668841	1.015002694
KAN_05	KAN	5	NH	C	44.02235	71.47746	0.002412	0.78	0.933333333	28.32654881	20.62172753	777	0.024744641	0.05858565	0.916557399	0.007951467	0.100668841	1.015002694
KAN_06	KAN	6	NH	C	44.02168	71.49196	0.002604	0.82	1	27.20999897	22.31219915	841	0.019102879	0.06053392	0.88754936	0.007951467	0.100668841	1.015002694
KIL_01	KIL	1	VT	C	43.60633	72.81543	0.00286	0.3	0.733333333	27.9680543	6.152971943	1171	-0.024183685	0.04158739	0.919248983	0.009442595	0.098169644	1.010850624
KIL_02	KIL	2	VT	C	43.60703	72.81634	0.003188	0.56	1	30.17416834	16.89753427	1170	0.025744522	0.04475447	0.873321239	0.009442595	0.098169644	1.010850624
KIL_03	KIL	3	VT	C	43.60837	72.8176	0.002764	0.58	1	22.25153712	12.90589153	1145	0.005814962	0.05451212	0.888421277	0.009442595	0.098169644	1.010850624
KIL_04	KIL	4	VT	C	43.60933	72.81762	0.002548	0.82	0.866666667	20.32243536	14.4424774	1115	0.013108838	0.06159251	0.915205861	0.009442595	0.098169644	1.010850624
KIL_05	KIL	5	VT	C	43.61079	72.81821	0.003284	0.46	0.933333333	29.34193796	12.59747203	1072	-0.008557241	0.04819691	0.926735848	0.009442595	0.098169644	1.010850624
KIL_06	KIL	6	VT	C	43.61229	72.8187	0.003134	0.8	0.933333333	28.20061236	21.05645722	1047	0.004587281	0.03608653	0.901166089	0.009442595	0.098169644	1.010850624
KOS_01	KOS	1	WV	E	38.69131	79.53503	0.003996	0.72	1	30.7386357	22.1318177	1356	-0.04104986	-0.05289335	0.899559361	0.011360281	0.098162697	1.010327158
KOS_02	KOS	2	WV	E	38.6894	79.54405	0.004358	0.74	0.866666667	32.21922039	20.66326002	1419	-0.041353859	-0.0587011	0.903505894	0.011360281	0.098162697	1.010327158
KOS_03	KOS	3	WV	E	38.69502	79.54109	0.002304	0.36	0.866666667	29.03622249	9.059301419	1428	-0.037951888	-0.05180363	0.908672093	0.011360281	0.098162697	1.010327158
KOS_04	KOS	4	WV	E	38.69886	79.5338	0.00335	0.5	0.933333333	25.44751091	11.87550509	1479	-0.041251857	-0.06178732	0.891156314	0.011360281	0.098162697	1.010327158
KOS_05	KOS	5	WV	E	38.69966	79.5335	0.003954	0.26	0.888888889	30.51871115	7.053213245	1488	-0.042544563	-0.05288397	0.900665366	0.011360281	0.098162697	1.010327158
KOS_07	KOS	7	WV	E	38.7023	79.5302	0.003974	0.68	0.928571429	24.48925672	15.46321639	1485	-0.040223369	-0.06184721	0.902609084	0.011360281	0.098162697	1.010327158
LEU_01	LEU	1	ME	C	45.46921	70.37423	0.003014	0.62	0.533333333	28.19799466	9.324136895	668	0.067374969	0.08287156	0.890448781	0.00803532	0.102479605	1.024768706
LEU_02	LEU	2	ME	C	45.47563	70.37312	0.002286	0.38	0.4	31.89709907	4.848359058	629	0.045819207	0.05926133	0.869077388	0.00803532	0.102479605	1.024768706
LEU_03	LEU	3	ME	C	45.48267	70.37241	0.001514	0.32	0.714285714	28.10019904	6.422902635	741	0.017553686	0.06960365	0.908732569	0.00803532	0.102479605	1.024768706
LEU_04	LEU	4	ME	C	45.48342	70.3726	0.003638	0.58	1	32.32807852	18.75028554	752	0.051109845	0.06811645	0.911096906	0.00803532	0.102479605	1.024768706
LEU_05	LEU	5	ME	C	45.47165	70.3756	0.00284	0.74	0.866666667	25.21598791	16.17185359	588	0.084882007	0.06070521	0.885079097	0.00803532	0.102479605	1.024768706
LOL_01	LOL	1	NH	C	44.138	71.71053	0.00339	0.36	0.6	35.2646169	7.61715725	865	0.018595855	0.02639457	0.868529501	0.009632176	0.107961247	1.015120391
LOL_02	LOL	2	NH	C	44.14044	71.72354	0.00306	0.26	0.933333333	25.16661773	6.107099233	957	0.075547255	0.09604567	0.883930799	0.009632176	0.107961247	1.015120391
LOL_03	LOL	3	NH	C	44.14035	71.72276	0.002598	0.56	0.866666667	24.65375188	11.96528758	950	0.057607487	0.06814001	0.88396976	0.009632176	0.107961247	1.015120391
LOL_04	LOL	4	NH	C	44.14965	71.7104	0.003308	0.68	1	32.15757896	21.86715369	1154	0.107404754	0.07193421	0.913122259	0.009632176	0.107961247	1.015120391
LOL_05	LOL	5	NH	C	44.14922	71.71134	0.00308	0.42	0.8	29.38094751	9.871998362	1137	0.077327306	0.06890503	0.879598241	0.009632176	0.107961247	1.015120391
MAC_01	MAC	1	NY	C	44.05343	73.78043	0.002522	0.22	1	26.66971206	5.867336652	1317	0.012076902	0.04626444	0.912731049	0.010004047	0.100539795	1.010144233
MAC_02	MAC	2	NY	C	44.05138	73.78415	0.00298	0.38	0.733333333	30.05221618	8.374550904	1172	0.011169875	0.06177686	0.868058974	0.010004047	0.100539795	1.010144233
MAC_03	MAC	3	NY	C	44.05165	73.78802	0.002646	0.56	1	24.17052728	13.53549528	1036	-0.004622386	0.05790399	0.904332425	0.010004047	0.100539795	1.010144233
MAC_04	MAC	4	NY	C	44.05131	73.78914	0.003772	0.9	0.933333333	27.37160849	22.99215112	1014	-0.014783897	0.05289606	0.891480901	0.010004047	0.100539795	1.010144233
MAC_05	MAC	5	NY	C	44.05025	73.78994	0.003556	0.68	0.4	31.45809709	8.556602409	969	-0.017619787	0.04748249	0.89318743	0.010004047	0.100539795	1.010144233
MMF_06	MMF	6	VT	C	44.51949	72.79916	0.004272	0.32	0.8	31.10131845	7.961937523	887	-0.006955663	0.04421605	0.899089067	0.009869153	0.097962359	1.008097568
MMF_13	MMF	13	VT	C	44.51382	72.79353	NA	NA	0	NA	NA	737	-0.022863835	0.05900677	0.927001823	0.009869153	0.097962359	1.008097568
MMF_19	MMF	19	VT	C	44.51746	72.78966	NA	NA	0.066666667	27.25464105	NA	710	-0.03368895	0.04332724	0.902920713	0.009869153	0.097962359	1.008097568
MMF_25	MMF	25	VT	C	44.51437	72.79371	0.003202	0.74	0.6	25.90914221	11.50365914	749	-0.014571863	0.04584058	0.900212763	0.009869153	0.097962359	1.008097568
MMF_29	MMF	29	VT	C	44.53398	72.8021	NA	NA	0	NA	NA	780	-0.01729843	0.05214248	0.886880892	0.009869153	0.097962359	1.008097568
MMF_32	MMF	32	VT	C	44.52254	72.79615	NA	NA	0	NA	NA	854	0.006397656	0.05462832	0.920379474	0.009869153	0.097962359	1.008097568
MMF_35	MMF	35	VT	C	44.52314	72.7969	NA	NA	0	NA	NA	853	0.015603606	0.04381543	0.923299435	0.009869153	0.097962359	1.008097568
MPG_01	MPG	1	VT	C	44.72913	72.03024	0.002984	0.54	1	23.92399958	12.91895977	826	0.007871779	0.060644	0.900480579	0.009912902	0.09901235	1.000794726
MPG_02	MPG	2	VT	C	44.7312	72.03259	0.00376	0.36	0.6	27.54817819	5.950406489	820	0.003612073	0.04493678	0.912048232	0.009912902	0.09901235	1.000794726
MPG_03	MPG	3	VT	C	44.73103	72.03169	0.002068	0.28	1	29.93703505	8.382369814	830	0.019568867	0.06914643	0.914972793	0.009912902	0.09901235	1.000794726
MPG_04	MPG	4	VT	C	44.72968	72.02951	0.00177	0.32	0.545454545	23.61476646	4.121850142	820	-0.000778103	0.04311652	0.913134817	0.009912902	0.09901235	1.000794726
MPG_05	MPG	5	VT	C	44.72948	72.02926	0.002686	0.6	0.933333333	30.77774601	17.23553776	824	0.010759715	0.05090405	0.87931223	0.009912902	0.09901235	1.000794726
MPG_06	MPG	6	VT	C	44.72881	72.0307	0.002922	0.5	0.933333333	23.79943614	11.10640353	822	-0.001567431	0.04278663	0.894332261	0.009912902	0.09901235	1.000794726
MRC_02	MRC	2	VA	E	36.672274	81.506	0.003914	0.14	1	29.64315668	4.150041935	1600	-0.046732598	-0.05840058	0.91698304	0.005935346	0.085684071	1.014711844
MRC_07	MRC	7	VA	E	36.6625	81.516944	0.004432	0.38	0.8	25.38686889	7.717608141	1569	-0.044511631	-0.0572428	0.910010587	0.005935346	0.085684071	1.014711844
MRC_08	MRC	8	VA	E	36.6625	81.516111	0.004126	0.26	1	27.61544585	7.180015921	1554	-0.046261203	-0.05173893	0.920441696	0.005935346	0.085684071	1.014711844
MRC_16	MRC	16	VA	E	36.65629	81.54009	0.003574	0.4	0.866666667	28.22729449	9.785462094	1616	-0.046316713	-0.05894283	0.913259052	0.005935346	0.085684071	1.014711844
MRC_18	MRC	18	VA	E	36.65793	81.53847	0.004274	0.34	1	26.82745986	9.121336353	1645	-0.040443527	-0.04968946	0.908902072	0.005935346	0.085684071	1.014711844
MSK_01	MSK	1	NH	C	44.43429	71.43275	0.002416	0.3	0.666666667	34.66123132	6.932246267	1197	0.029645131	0.05397374	0.861638978	0.009424366	0.106392508	1.015230986
MSK_02	MSK	2	NH	C	44.43365	71.41321	0.002458	0.36	0.714285714	27.84941367	7.161277799	1226	0.031229155	0.0693444	0.889696115	0.009424366	0.106392508	1.015230986
MSK_03	MSK	3	NH	C	44.43383	71.42283	0.002638	0.48	1	37.67604013	18.08449926	1158	0.07608703	0.09153876	0.85568571	0.009424366	0.106392508	1.015230986
MSK_04	MSK	4	NH	C	44.4242	71.44677	0.002516	0.32	1	23.26229089	7.443933084	850	-0.004940052	0.06177839	0.913310214	0.009424366	0.106392508	1.015230986
MT_01	MT	1	NC	E	35.7568	82.2524	0.003782	0.42	1	27.64203469	11.60965457	1711	-0.046446541	-0.06319155	0.909695675	0.011816004	0.096072194	1.005717369
MT_04	MT	4	NC	E	35.75649	82.25134	0.003216	0.3	1	28.96937575	8.690812725	1678	-0.042932718	-0.06237305	0.916172567	0.011816004	0.096072194	1.005717369
MT_05	MT	5	NC	E	35.75581	82.25083	0.003408	0.44	0.933333333	29.14346938	11.96825142	1649	-0.044056459	-0.0555003	0.925506457	0.011816004	0.096072194	1.005717369
MT_07	MT	7	NC	E	35.75458	82.24234	0.00328	0.5	1	28.05088558	14.02544279	1470	-0.042487907	-0.05865034	0.932325781	0.011816004	0.096072194	1.005717369
MT_08	MT	8	NC	E	35.7524	82.24024	0.003066	0.42	0.8	29.37507894	9.870026524	1420	-0.042616095	-0.05746872	0.877111874	0.011816004	0.096072194	1.005717369
MT_09	MT	9	NC	E	35.75366	82.24549	0.003774	0.56	0	NA	0	1533	-0.045973157	-0.05712194	0.918748071	0.011816004	0.096072194	1.005717369
MT_12	MT	12	NC	E	35.757069	82.252205	0.003202	0.4	1	30.51991434	12.20796574	1701	-0.044107162	-0.05670155	0.916175378	0.011816004	0.096072194	1.005717369
NBTIC_543	NBTIC	543	NB	C	46.22	67.14	0.00387	0.56	0.933333333	36.73031224	19.19770985	NA	0.060402431	0.06988718	0.870002233	0.013540463	0.112960143	1.020761972
NBTIC_552	NBTIC	552	NB	C	46.18	67.15	0.0033	0.62	1	31.6473873	19.62138012	NA	0.061758801	0.06537528	0.849684185	0.013540463	0.112960143	1.020761972
NBTIC_565	NBTIC	565	NB	C	46.66	67.6	0.00389	0.46	1	36.78051635	16.91903752	NA	0.040020979	0.06709765	0.899094265	0.013540463	0.112960143	1.020761972
NBTIC_623	NBTIC	623	NB	C	45.48	66.65	0.00289	0.34	0.866666667	35.83591431	10.55964942	585	0.018251998	0.04832225	0.868819453	0.013540463	0.112960143	1.020761972
NBTIC_624	NBTIC	624	NB	C	45.42	66.7	0.003122	0.4	1	36.08376549	14.4335062	682	0.044931547	0.06045702	0.89712661	0.013540463	0.112960143	1.020761972
NBTIC_627	NBTIC	627	NB	C	45.26	66.49	0.003656	0.72	1	36.81921488	26.50983472	464	0.017475247	0.05026868	0.929128824	0.013540463	0.112960143	1.020761972
NOR_01	NOR	1	NY	C	42.21991	74.04099	0.003906	0.88	0.933333333	26.40881587	21.69044076	919	-0.006365285	0.03748897	0.915084513	0.009307701	0.09411041	1.023604676
NOR_02	NOR	2	NY	C	42.22041	74.04166	0.003966	0.66	0.8	20.31128747	10.72435978	923	-0.015285014	0.0410331	0.925164633	0.009307701	0.09411041	1.023604676
NOR_03	NOR	3	NY	C	42.22059	74.04261	0.002572	0.42	0.866666667	22.92124936	8.343334771	935	-0.032333914	0.03659417	0.896914154	0.009307701	0.09411041	1.023604676
NOR_04	NOR	4	NY	C	42.21969	74.04345	0.00278	0.28	0.733333333	26.52368803	5.446197274	937	-0.032545201	0.0401795	0.903519767	0.009307701	0.09411041	1.023604676
NOR_05	NOR	5	NY	C	42.21886	74.04497	0.003464	0.52	0.8	28.52411098	11.86603017	961	-0.03393366	0.02697274	0.922013189	0.009307701	0.09411041	1.023604676
NOR_06	NOR	6	NY	C	42.21925	74.04668	0.003634	0.42	1	29.14240435	12.23980983	962	-0.037576744	0.03365222	0.887576532	0.009307701	0.09411041	1.023604676
OCT_01	OCT	1	MA	C	42.36216	73.15527	0.003636	0.68	0.6	34.74616834	14.17643668	582	-0.006735688	0.0550884	0.913434913	0.010066025	0.098203883	1.011298329
OCT_02	OCT	2	MA	C	42.36126	73.15881	0.00319	0.72	0.933333333	25.63053351	17.22371851	576	-0.021945445	0.04141323	0.886411068	0.010066025	0.098203883	1.011298329
OCT_03	OCT	3	MA	C	42.35426	73.17902	0.00406	0.92	1	33.78205324	31.07948898	571	0.000401209	0.0349682	0.913401898	0.010066025	0.098203883	1.011298329
OCT_04	OCT	4	MA	C	42.34901	73.19077	0.003556	0.7	1	28.74943809	20.12460667	549	-0.003997874	0.05151964	0.915665175	0.010066025	0.098203883	1.011298329
OCT_06	OCT	6	MA	C	42.361	73.15971	0.00347	0.74	1	30.31959672	22.43650157	586	0.012827227	0.05370519	0.893066209	0.010066025	0.098203883	1.011298329
OCT_08	OCT	8	MA	C	42.36194	73.15504	0.003836	0.56	0.733333333	36.96684611	15.18105146	592	-0.016219897	0.02651105	0.896408114	0.010066025	0.098203883	1.011298329
OKE_01	OKE	1	VT	C	43.41356	72.74883	0.002958	0.66	1	23.78830884	15.70028383	812	0.000773525	0.0546127	0.919771559	0.008308755	0.100304089	1.014127254
OKE_02	OKE	2	VT	C	43.41016	72.75069	0.00283	0.7	0.866666667	31.77820963	19.27878052	910	0.001226427	0.04340889	0.902222912	0.008308755	0.100304089	1.014127254
OKE_03	OKE	3	VT	C	43.409	72.74791	0.003396	0.86	1	28.55027526	24.55323673	935	0.024240247	0.03924473	0.911476302	0.008308755	0.100304089	1.014127254
OKE_04	OKE	4	VT	C	43.40522	72.75047	0.002744	0.68	0.933333333	30.17523014	19.15121272	1020	0.039274082	0.05148226	0.911835312	0.008308755	0.100304089	1.014127254
OKE_05	OKE	5	VT	C	43.40388	72.75101	0.002874	0.54	0.866666667	24.40258666	11.42041056	1020	0.031339816	0.04864317	0.903566012	0.008308755	0.100304089	1.014127254
OKE_06	OKE	6	VT	C	43.40847	72.74814	0.003184	0.34	1	31.31589857	10.64740551	953	0.023387662	0.02572335	0.86296078	0.008308755	0.100304089	1.014127254
OWL_01	OWL	1	NH	C	44.29606	72.2939	0.00354	0.28	1	38.07737433	10.66166481	580	-0.010625543	0.04790151	0.914823313	0.005209833	0.085617452	1.006255559
OWL_02	OWL	2	NH	C	44.2958	72.29314	0.002838	0.12	0.4	33.80350261	1.622568125	581	0.00031755	0.04831034	0.916682761	0.005209833	0.085617452	1.006255559
OWL_03	OWL	3	NH	C	44.29611	72.29464	0.003446	0.74	0.933333333	34.74871636	23.99978009	584	0.004211745	0.0596187	0.908987596	0.005209833	0.085617452	1.006255559
OWL_04	OWL	4	NH	C	44.29652	72.29517	0.003052	0.5	0.933333333	36.84535293	17.19449803	589	-0.015459897	0.04141538	0.888759301	0.005209833	0.085617452	1.006255559
PRK_01	PRK	1	WV	E	38.32659	80.15412	0.003418	0.46	0.933333333	26.30888582	11.29528164	1440	-0.04211179	-0.05179059	0.91885969	0.006201488	0.085648417	1.014708061
PRK_02	PRK	2	WV	E	38.33402	80.15413	0.005434	0.5	1	27.85940495	13.92970247	1398	-0.041925353	-0.05975968	0.916611883	0.006201488	0.085648417	1.014708061
PRK_03	PRK	3	WV	E	38.34276	80.16302	0.003108	0.54	1	27.3381524	14.7626023	1268	-0.039876937	-0.0538458	0.907821848	0.006201488	0.085648417	1.014708061
PRK_04	PRK	4	WV	E	38.34618	80.16209	0.004432	0.86	0.933333333	32.07735987	25.74742751	1262	-0.044907989	-0.05478564	0.902981052	0.006201488	0.085648417	1.014708061
PRK_05	PRK	5	WV	E	38.34659	80.16196	0.004488	0.58	0.4	32.28897559	7.491042337	1267	-0.044330888	-0.05708462	0.924673817	0.006201488	0.085648417	1.014708061
PRO_01	PRO	1	VT	C	44.52872	72.86739	0.002892	0.3	NA	NA	0	448	-0.022387519	0.05393373	0.939878071	0.004385885	0.080247019	1.0033261
PRO_02	PRO	2	VT	C	44.52773	72.8672	0.003172	0.38	0.75	28.88141781	8.231204075	425	-0.015128031	0.04954903	0.931915528	0.004385885	0.080247019	1.0033261
PRO_03	PRO	3	VT	C	44.52746	72.86732	0.003338	0.36	0.8	29.31011366	8.441312735	420	-0.013361244	0.06021033	0.91084636	0.004385885	0.080247019	1.0033261
PRO_04	PRO	4	VT	C	44.52844	72.86649	0.002232	0.52	0.933333333	31.30916289	15.19538038	429	-0.019341908	0.03833924	0.886861346	0.004385885	0.080247019	1.0033261
RP_01	RP	1	TN	E	35.60925	83.44671	0.004058	0.36	1	27.90644582	10.0463205	1617	-0.042080486	-0.05796087	0.900107965	0.006711899	0.086586345	0.997641931
RP_03	RP	3	TN	E	35.60989	83.44798	0.003608	0.4	0.866666667	29.86057092	10.35166459	1586	-0.046286524	-0.05732008	0.929446623	0.006711899	0.086586345	0.997641931
RP_05	RP	5	TN	E	35.61014	83.45202	0.004212	0.4	0.933333333	31.1785998	11.64001059	1545	-0.041273129	-0.05991391	0.936131993	0.006711899	0.086586345	0.997641931
RP_06	RP	6	TN	E	35.61018	83.45275	0.003352	0.3	0.866666667	24.7137366	6.425571519	1537	-0.04433306	-0.05676188	0.892768014	0.006711899	0.086586345	0.997641931
RP_11	RP	11	TN	E	35.61305	83.46869	0.003618	0.34	1	30.29313844	10.29966707	1370	-0.045656224	-0.05931992	0.910888172	0.006711899	0.086586345	0.997641931
SAV_01	SAV	1	MA	C	42.60101	73.02749	0.003956	0.58	0.6	32.16617554	11.19382909	767	0.0125407	0.02593285	0.905756975	0.0093952	0.097565241	1.007642195
SAV_02	SAV	2	MA	C	42.60059	73.0264	0.003706	0.7	1	31.88685302	22.32079711	759	-0.011354351	0.04419545	0.908905503	0.0093952	0.097565241	1.007642195
SAV_03	SAV	3	MA	C	42.60036	73.02493	0.003374	0.74	0.933333333	33.35086924	23.03433368	738	-0.025684506	0.02847204	0.910260732	0.0093952	0.097565241	1.007642195
SAV_04	SAV	4	MA	C	42.65836	73.05849	0.004146	0.56	0.8	25.63206435	11.48316483	564	-0.034880319	0.03000438	0.926418985	0.0093952	0.097565241	1.007642195
SAV_05	SAV	5	MA	C	42.65893	73.05984	0.004086	0.52	0.933333333	36.19231148	17.56533517	572	-0.02696226	0.04011405	0.908447804	0.0093952	0.097565241	1.007642195
SAV_06	SAV	6	MA	C	42.6589	73.06075	0.003812	0.54	0.4	33.85328251	7.312309021	577	-0.005754649	0.03929052	0.892395687	0.0093952	0.097565241	1.007642195
SAV_07	SAV	7	MA	C	42.65743	73.06254	0.00374	0.74	1	30.57399338	22.6247551	612	-0.012191088	0.03972267	0.901104927	0.0093952	0.097565241	1.007642195
SPR_01	SPR	1	PA	M	41.2067	75.64813	0.003022	0.4	0.8	30.96785647	9.909714069	586	0.103968204	-0.07699987	0.86936113	0.007601471	0.105490322	1.032946274
SPR_02	SPR	2	PA	M	41.20095	75.6479	0.002962	0.56	0.933333333	35.97776113	18.80437648	567	0.160455451	-0.06410843	0.885142323	0.007601471	0.105490322	1.032946274
SPR_03	SPR	3	PA	M	41.20177	75.64116	0.0032	0.46	0.933333333	35.17745347	15.10285335	585	0.117079088	-0.03537507	0.904438384	0.007601471	0.105490322	1.032946274
SPR_04	SPR	4	PA	M	41.2021	75.63768	0.003388	0.44	0.8	33.59933461	11.82696578	588	0.131800036	-0.08728744	0.904772985	0.007601471	0.105490322	1.032946274
SPR_05	SPR	5	PA	M	41.20205	75.6366	0.00303	0.48	1	36.07649092	17.31671564	590	0.131503011	-0.06023437	0.881737244	0.007601471	0.105490322	1.032946274
TWI_02	TWI	2	NY	C	42.11969	74.12601	0.003292	0.38	1	27.72496887	10.53548817	1064	-0.032243936	0.04884326	0.915069834	0.007769178	0.089460999	1.00920741
TWI_03	TWI	3	NY	C	42.1222	74.12683	0.003126	0.62	0.866666667	27.60392628	14.83250973	1042	-0.01680897	0.05877047	0.901901601	0.007769178	0.089460999	1.00920741
TWI_04	TWI	4	NY	C	42.12289	74.1269	0.003018	0.78	1	23.0316898	17.96471804	1051	-0.030659583	0.04725985	0.921516287	0.007769178	0.089460999	1.00920741
TWI_05	TWI	5	NY	C	42.12367	74.12727	0.002732	0.4	0.692307692	26.22766926	7.26304687	1074	-0.035934015	0.0390539	0.917200564	0.007769178	0.089460999	1.00920741
TWI_06	TWI	6	NY	C	42.12489	74.12855	0.003906	0.4	0.933333333	34.51372243	12.88512303	1100	-0.023806964	0.05241298	0.888326196	0.007769178	0.089460999	1.00920741
WA_412	WA	412	NC	E	35.34417	83.35255	0.0027	0.52	1	24.23126901	12.60025988	1285	-0.046447252	-0.05844474	0.920285326	0.007878551	0.089303278	1.002137004
WA_414	WA	414	NC	E	35.34103	83.35087	0.00371	0.42	1	28.24153851	11.86144617	1273	-0.045973773	-0.06048154	0.900829759	0.007878551	0.089303278	1.002137004
WA_416	WA	416	NC	E	35.33896	83.3516	0.00305	0.02	1	24.60292277	0.492058455	1251	-0.042437802	-0.05451325	0.887935053	0.007878551	0.089303278	1.002137004
WA_418	WA	418	NC	E	35.3378	83.35202	0.00184	0.26	0.6	25.22423468	3.934980609	1264	-0.038188038	-0.05446102	0.917167485	0.007878551	0.089303278	1.002137004
WA_419	WA	419	NC	E	35.34348	83.35368	0.003474	0.34	0.933333333	29.26541084	9.28689037	1277	-0.042757768	-0.06152877	0.917606193	0.007878551	0.089303278	1.002137004
WCA_01	WCA	1	NY	C	42.46577	74.57816	0.004118	0.5	1	23.3925796	11.6962898	574	-0.021110272	0.02669903	0.906531623	0.008516565	0.093591544	1.004613602
WCA_02	WCA	2	NY	C	42.4851	74.597	0.004108	0.36	1	28.98590713	10.43492657	582	-0.006855255	0.02834744	0.89480043	0.008516565	0.093591544	1.004613602
WCA_03	WCA	3	NY	C	42.4851	74.597	0.003324	0.32	0.333333333	30.98465967	3.305030362	582	-0.009158075	0.03067785	0.929036248	0.008516565	0.093591544	1.004613602
WCA_04	WCA	4	NY	C	42.48974	74.5986	0.004138	0.6	1	22.34223505	13.40534103	566	-0.023071249	0.02684464	0.910540685	0.008516565	0.093591544	1.004613602
WCA_05	WCA	5	NY	C	42.48933	74.59966	0.00419	0.72	1	36.62826344	26.37234968	568	-0.0390311	0.02392249	0.897784292	0.008516565	0.093591544	1.004613602
WCA_07	WCA	7	NY	C	42.49206	74.64082	0.004696	0.64	0.4	34.19954796	8.755084277	571	0.002523151	0.01037724	0.91070762	0.008516565	0.093591544	1.004613602
WHI_01	WHI	1	NY	C	44.39593	73.90094	0.002978	0.44	0.8	33.00475677	11.61767438	893	0.024239577	0.05151662	0.90878358	0.007747303	0.093454199	1.003135545
WHI_03	WHI	3	NY	C	44.39735	73.89967	0.002986	0.84	0.933333333	30.27058725	23.7321404	881	-0.015279721	0.06662097	0.916876633	0.007747303	0.093454199	1.003135545
WHI_04	WHI	4	NY	C	44.39754	73.89878	0.003514	0.72	0.8	31.85936537	18.35099445	877	-0.017303324	0.07280077	0.896564178	0.007747303	0.093454199	1.003135545
WHI_05	WHI	5	NY	C	44.3988	73.8951	0.002836	0.24	1	27.03940239	6.489456573	852	-0.008417216	0.06246016	0.902428158	0.007747303	0.093454199	1.003135545
WHI_07	WHI	7	NY	C	44.37091	73.90691	0.002152	0.06	0.533333333	24.29864279	0.777556569	1208	0.029330725	0.04495618	0.897377382	0.007747303	0.093454199	1.003135545
WHI_12	WHI	12	NY	C	44.39975	73.85603	NA	NA	0	NA	NA	573	-0.019633898	0.04483302	0.934587983	0.007747303	0.093454199	1.003135545
XBM_02	XBM	2	PA	M	40.73345	77.75672	0.002402	0.42	1	39.11298943	16.42745556	552	0.195393599	-0.10148027	0.856276526	0.010733205	0.115970353	1.02312624
XBM_03	XBM	3	PA	M	40.73457	77.75919	0.00231	0.46	0.933333333	46.24942003	19.85641766	561	0.10149092	-0.08999251	0.893137594	0.010733205	0.115970353	1.02312624
XBM_04	XBM	4	PA	M	40.73425	77.75865	0.002704	0.52	1	40.83810606	21.23581515	556	0.179515772	-0.09047065	0.88207109	0.010733205	0.115970353	1.02312624
XBM_05	XBM	5	PA	M	40.73351	77.75858	0.001672	0.66	0.733333333	32.13171897	15.55175198	555	0.186283878	-0.08398974	0.882638744	0.010733205	0.115970353	1.02312624
XBM_06	XBM	6	PA	M	40.73287	77.75868	0.002064	0.56	0.866666667	33.01529587	16.0234236	553	0.174684965	-0.07551039	0.888650674	0.010733205	0.115970353	1.02312624
XBM_07	XBM	7	PA	M	40.73135	77.7608	0.002374	0.82	0.866666667	36.8696672	26.2020435	566	0.134205207	-0.0534551	0.868747036	0.010733205	0.115970353	1.02312624
XCS_01	XCS	1	WV	E	39.53417	79.48211	0.001258	0.44	0.857142857	30.63883939	11.55521943	777	-0.035246569	-0.05640471	0.911310042	0.001141132	0.063290102	0.995621705
XCS_03	XCS	3	WV	E	39.53408	79.4812	0.002148	0.56	0.642857143	33.35961261	12.00946054	776	-0.033429915	-0.05827415	0.914647268	0.001141132	0.063290102	0.995621705
XCV_01	XCV	1	WV	E	39.09184	79.44985	0.002786	0.6	1	34.34979132	20.60987479	1141	0.018523022	0.05005201	0.904991785	0.010569144	0.106074687	1.010546688
XCV_02	XCV	2	WV	E	39.08964	79.45225	0.003854	0.6	0.933333333	38.33504952	21.46762773	1129	0.035529255	0.05137641	0.871730069	0.010569144	0.106074687	1.010546688
XCV_03	XCV	3	WV	E	39.08574	79.4577	0.003068	0.68	1	38.46439328	26.15578743	1123	0.020227039	0.06338275	0.884809751	0.010569144	0.106074687	1.010546688
XCV_04	XCV	4	WV	E	39.08291	79.46288	0.002644	0.52	1	34.09480313	17.72929763	1130	0.079963401	0.09799804	0.859717542	0.010569144	0.106074687	1.010546688
XCV_05	XCV	5	WV	E	39.07191	79.47373	0.003736	0.5	0.933333333	31.55348403	14.72495921	1113	-0.04275936	-0.05379088	0.914826021	0.010569144	0.106074687	1.010546688
XDS_01	XDS	1	WV	E	38.97031	79.34267	0.004352	0.52	0.6	27.04137741	8.436909752	1201	-0.044724432	-0.05286392	0.928719464	0.008002508	0.090199655	1.00272892
XDS_02	XDS	2	WV	E	38.97128	79.34201	0.004136	0.32	0.6	25.46856006	4.889963531	1191	-0.043489993	-0.05553964	0.901878812	0.008002508	0.090199655	1.00272892
XDS_03	XDS	3	WV	E	38.97446	79.33907	0.004182	0.2	1	25.50619105	5.101238211	1203	-0.037201859	-0.05790578	0.92220524	0.008002508	0.090199655	1.00272892
